CPU_Model,RAM_Capacity_GB,CPU_Freq_MHz,Num_Cores,Total_Threads,Target_Load_Pct,Achieved_Load_Pct,Avg_Power_Watts
Intel Xeon X5670,12.0,2933,12,24,100,99.2,258.0
Intel Xeon X5670,12.0,2933,12,24,90,90.1,241.0
Intel Xeon X5670,12.0,2933,12,24,80,80.0,227.0
Intel Xeon X5670,12.0,2933,12,24,70,70.0,209.0
Intel Xeon X5670,12.0,2933,12,24,60,59.9,189.0
Intel Xeon X5670,12.0,2933,12,24,50,50.1,170.0
Intel Xeon X5670,12.0,2933,12,24,40,39.8,155.0
Intel Xeon X5670,12.0,2933,12,24,30,29.8,140.0
Intel Xeon X5670,12.0,2933,12,24,20,20.2,133.0
Intel Xeon X5670,12.0,2933,12,24,10,10.0,119.0
Intel Xeon X5670,12.0,2933,12,24,0,0.0,69.2
Intel Xeon E5-2660,32.0,2200,16,32,100,99.9,257.0
Intel Xeon E5-2660,32.0,2200,16,32,90,90.1,231.0
Intel Xeon E5-2660,32.0,2200,16,32,80,79.9,196.0
Intel Xeon E5-2660,32.0,2200,16,32,70,69.8,171.0
Intel Xeon E5-2660,32.0,2200,16,32,60,60.0,150.0
Intel Xeon E5-2660,32.0,2200,16,32,50,50.2,133.0
Intel Xeon E5-2660,32.0,2200,16,32,40,40.1,120.0
Intel Xeon E5-2660,32.0,2200,16,32,30,30.1,109.0
Intel Xeon E5-2660,32.0,2200,16,32,20,19.9,97.9
Intel Xeon E5-2660,32.0,2200,16,32,10,10.0,87.2
Intel Xeon E5-2660,32.0,2200,16,32,0,0.0,59.7
Intel Xeon E5-2680,24.0,2700,16,32,100,99.8,236.0
Intel Xeon E5-2680,24.0,2700,16,32,90,90.2,225.0
Intel Xeon E5-2680,24.0,2700,16,32,80,79.9,211.0
Intel Xeon E5-2680,24.0,2700,16,32,70,70.2,194.0
Intel Xeon E5-2680,24.0,2700,16,32,60,60.1,174.0
Intel Xeon E5-2680,24.0,2700,16,32,50,50.1,151.0
Intel Xeon E5-2680,24.0,2700,16,32,40,40.0,127.0
Intel Xeon E5-2680,24.0,2700,16,32,30,30.2,107.0
Intel Xeon E5-2680,24.0,2700,16,32,20,20.1,90.2
Intel Xeon E5-2680,24.0,2700,16,32,10,9.9,76.1
Intel Xeon E5-2680,24.0,2700,16,32,0,0.0,66.8
Intel Xeon Platinum 8176,192.0,2100,56,112,100,99.8,454.0
Intel Xeon Platinum 8176,192.0,2100,56,112,90,90.0,374.0
Intel Xeon Platinum 8176,192.0,2100,56,112,80,80.0,305.0
Intel Xeon Platinum 8176,192.0,2100,56,112,70,70.1,265.0
Intel Xeon Platinum 8176,192.0,2100,56,112,60,60.1,228.0
Intel Xeon Platinum 8176,192.0,2100,56,112,50,49.9,198.0
Intel Xeon Platinum 8176,192.0,2100,56,112,40,40.0,176.0
Intel Xeon Platinum 8176,192.0,2100,56,112,30,30.0,160.0
Intel Xeon Platinum 8176,192.0,2100,56,112,20,19.9,133.0
Intel Xeon Platinum 8176,192.0,2100,56,112,10,10.0,113.0
Intel Xeon Platinum 8176,192.0,2100,56,112,0,0.0,49.4
Intel Xeon E5-2670,16.0,2600,16,32,100,100.1,279.0
Intel Xeon E5-2670,16.0,2600,16,32,90,90.0,227.0
Intel Xeon E5-2670,16.0,2600,16,32,80,79.9,191.0
Intel Xeon E5-2670,16.0,2600,16,32,70,70.1,165.0
Intel Xeon E5-2670,16.0,2600,16,32,60,60.0,143.0
Intel Xeon E5-2670,16.0,2600,16,32,50,49.8,124.0
Intel Xeon E5-2670,16.0,2600,16,32,40,39.9,112.0
Intel Xeon E5-2670,16.0,2600,16,32,30,29.9,102.0
Intel Xeon E5-2670,16.0,2600,16,32,20,20.0,92.1
Intel Xeon E5-2670,16.0,2600,16,32,10,9.9,81.8
Intel Xeon E5-2670,16.0,2600,16,32,0,0.0,54.8
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,100,99.7,939.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,90,89.8,839.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,80,80.0,710.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,70,70.0,592.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,60,60.0,511.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,50,50.0,442.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,40,40.0,383.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,30,30.0,333.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,20,20.0,286.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,10,10.0,237.0
Intel Xeon Platinum 8180 2.50 GHz,384.0,2500,112,224,0,0.0,89.8
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,100,100.1,82.8
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,90,89.9,66.4
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,80,80.1,55.9
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,70,70.1,49.7
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,60,60.0,44.5
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,50,49.9,40.1
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,40,40.1,36.1
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,30,30.0,33.2
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,20,20.0,30.5
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,10,10.0,27.5
Intel(R) Xeon(R) E-2388G CPU 3.20GHz,16.0,3200,8,16,0,0.0,21.7
Intel Xeon X5675,16.0,3067,12,24,100,100.1,216.0
Intel Xeon X5675,16.0,3067,12,24,90,90.7,192.0
Intel Xeon X5675,16.0,3067,12,24,80,79.9,173.0
Intel Xeon X5675,16.0,3067,12,24,70,69.7,155.0
Intel Xeon X5675,16.0,3067,12,24,60,60.1,142.0
Intel Xeon X5675,16.0,3067,12,24,50,50.1,133.0
Intel Xeon X5675,16.0,3067,12,24,40,40.1,124.0
Intel Xeon X5675,16.0,3067,12,24,30,30.0,115.0
Intel Xeon X5675,16.0,3067,12,24,20,20.1,107.0
Intel Xeon X5675,16.0,3067,12,24,10,10.0,95.4
Intel Xeon X5675,16.0,3067,12,24,0,0.0,55.6
Intel Xeon L5520,8.0,2260,8,16,100,99.7,169.0
Intel Xeon L5520,8.0,2260,8,16,90,90.3,161.0
Intel Xeon L5520,8.0,2260,8,16,80,80.3,151.0
Intel Xeon L5520,8.0,2260,8,16,70,70.0,140.0
Intel Xeon L5520,8.0,2260,8,16,60,59.8,131.0
Intel Xeon L5520,8.0,2260,8,16,50,50.1,121.0
Intel Xeon L5520,8.0,2260,8,16,40,39.9,113.0
Intel Xeon L5520,8.0,2260,8,16,30,29.8,104.0
Intel Xeon L5520,8.0,2260,8,16,20,20.0,96.0
Intel Xeon L5520,8.0,2260,8,16,10,9.8,83.3
