timestamp,pod_name,pod_cpu_request_milli,pod_ram_request_mib,candidate_node_name,node_cpu_total_milli,node_ram_total_mib,node_cpu_model_energy_val,node_type,energy_before,energy_after
2025-06-01T19:35:56.593906809Z,workload-6924,6000,3221225472,cloud-2,10000,24576,200.1000,cloud,225.5013,555.4454
2025-06-01T19:35:56.595574003Z,workload-6924,6000,3221225472,cloud-7,32000,65536,200.1000,cloud,199.5013,358.3014
2025-06-01T19:35:56.598057018Z,workload-6924,6000,3221225472,cloud-6,24000,61440,200.1000,cloud,218.5013,383.1925
2025-06-01T19:35:56.599581804Z,workload-6924,6000,3221225472,cloud-5,20000,65536,200.1000,cloud,212.5013,401.0268
2025-06-01T19:35:56.601691376Z,workload-6924,6000,3221225472,cloud-4,6000,49152,200.1000,cloud,222.5013,738.9514
2025-06-01T19:35:56.60201628Z,workload-6924,6000,3221225472,cloud-3,16000,32768,200.1000,cloud,209.5013,435.2842
2025-06-01T19:35:56.602422201Z,workload-6924,6000,3221225472,cloud-8,8000,40960,200.1000,cloud,232.5013,572.9039
2025-06-01T19:35:56.604954315Z,workload-6924,6000,3221225472,cloud-1,8000,16384,200.1000,cloud,209.5013,585.2624
2025-06-01T19:35:56.691057169Z,workload-8868,1580,1048576000,edge-4,2000,1536,200.1000,edge,168.5013,550.9039
2025-06-01T19:35:56.692878224Z,workload-8868,1580,1048576000,cloud-7,32000,65536,200.1000,cloud,333.3014,373.9745
2025-06-01T19:35:56.700684651Z,workload-8868,1580,1048576000,cloud-1,8000,16384,200.1000,cloud,203.5013,338.3014
2025-06-01T19:35:56.702595103Z,workload-8868,1580,1048576000,edge-8,3000,1280,200.1000,edge,179.5013,450.4236
2025-06-01T19:35:56.705837509Z,workload-8868,1580,1048576000,edge-10,4000,5120,200.1000,edge,168.5013,376.2842
2025-06-01T19:35:56.706669674Z,workload-8868,1580,1048576000,cloud-3,16000,32768,200.1000,cloud,229.5013,301.1623
2025-06-01T19:35:56.713329089Z,workload-8868,1580,1048576000,cloud-5,20000,65536,200.1000,cloud,230.5013,282.1623
2025-06-01T19:35:56.713447331Z,workload-8868,1580,1048576000,cloud-2,10000,24576,200.1000,cloud,221.5013,332.3014
2025-06-01T19:35:56.713557472Z,workload-8868,1580,1048576000,edge-5,2000,2048,200.1000,edge,167.5013,543.2624
2025-06-01T19:35:56.7136688Z,workload-8868,1580,1048576000,edge-9,3000,2560,200.1000,edge,160.5013,469.4236
2025-06-01T19:35:56.714881253Z,workload-8868,1580,1048576000,edge-6,2000,3072,200.1000,edge,185.5013,525.9039
2025-06-01T19:35:56.716062767Z,workload-8868,1580,1048576000,cloud-8,8000,40960,200.1000,cloud,212.5013,366.3014
2025-06-01T19:35:56.718364194Z,workload-8868,1580,1048576000,edge-12,4000,8192,200.1000,edge,159.5013,380.2842
2025-06-01T19:35:56.721882055Z,workload-8868,1580,1048576000,edge-11,4000,6144,200.1000,edge,173.5013,393.2842
2025-06-01T19:35:56.72260394Z,workload-8868,1580,1048576000,cloud-6,24000,61440,200.1000,cloud,209.5013,317.1623
2025-06-01T19:35:56.722662607Z,workload-8868,1580,1048576000,cloud-4,6000,49152,200.1000,cloud,231.5013,398.1925
2025-06-01T19:35:56.723591573Z,workload-8868,1580,1048576000,edge-7,3000,4096,200.1000,edge,168.5013,451.7821
2025-06-01T19:35:56.81013464Z,workload-7539,4000,7516192768,cloud-7,32000,65536,200.1000,cloud,366.3014,450.2842
2025-06-01T19:35:56.811117733Z,workload-7539,4000,7516192768,cloud-2,10000,24576,200.1000,cloud,217.5013,453.9872
2025-06-01T19:35:56.813517427Z,workload-7539,4000,7516192768,cloud-8,8000,40960,200.1000,cloud,199.5013,475.9891
2025-06-01T19:35:56.816021116Z,workload-7539,4000,7516192768,cloud-6,24000,61440,200.1000,cloud,298.1623,376.9745
2025-06-01T19:35:56.817013358Z,workload-7539,4000,7516192768,cloud-4,6000,49152,200.1000,cloud,237.5013,563.8903
2025-06-01T19:35:56.817525299Z,workload-7539,4000,7516192768,cloud-1,8000,16384,200.1000,cloud,230.5013,494.9891
2025-06-01T19:35:56.817608969Z,workload-7539,4000,7516192768,cloud-5,20000,65536,200.1000,cloud,202.5013,364.9465
2025-06-01T19:35:56.818231609Z,workload-7539,4000,7516192768,cloud-3,16000,32768,200.1000,cloud,227.5013,406.1925
2025-06-01T19:35:56.819179222Z,workload-7539,4000,7516192768,edge-12,4000,8192,200.1000,edge,159.5013,703.9514
2025-06-01T19:35:56.909052625Z,workload-4565,1060,3617587200,cloud-6,24000,61440,200.1000,cloud,296.1623,337.3014
2025-06-01T19:35:56.909157108Z,workload-4565,1060,3617587200,cloud-3,16000,32768,200.1000,cloud,204.5013,309.1623
2025-06-01T19:35:56.912088927Z,workload-4565,1060,3617587200,cloud-4,6000,49152,200.1000,cloud,231.5013,361.3014
2025-06-01T19:35:56.913202275Z,workload-4565,1060,3617587200,edge-12,4000,8192,200.1000,edge,183.5013,344.1925
2025-06-01T19:35:56.918820559Z,workload-4565,1060,3617587200,cloud-7,32000,65536,200.1000,cloud,343.3014,381.9745
2025-06-01T19:35:56.919797297Z,workload-4565,1060,3617587200,cloud-5,20000,65536,200.1000,cloud,343.9465,409.1925
2025-06-01T19:35:56.920275294Z,workload-4565,1060,3617587200,cloud-8,8000,40960,200.1000,cloud,224.5013,360.3014
2025-06-01T19:35:56.92176481Z,workload-4565,1060,3617587200,cloud-1,8000,16384,200.1000,cloud,237.5013,368.3014
2025-06-01T19:35:56.921978037Z,workload-4565,1060,3617587200,edge-7,3000,4096,200.1000,edge,182.5013,384.2842
2025-06-01T19:35:56.92219748Z,workload-4565,1060,3617587200,edge-10,4000,5120,200.1000,edge,162.5013,359.1925
2025-06-01T19:35:56.924217933Z,workload-4565,1060,3617587200,cloud-2,10000,24576,200.1000,cloud,205.5013,303.4798
2025-06-01T19:35:56.924999603Z,workload-4565,1060,3617587200,edge-11,4000,6144,200.1000,edge,166.5013,357.1925
2025-06-01T19:35:57.013388867Z,workload-594,2565,7392460800,cloud-6,24000,61440,200.1000,cloud,280.1623,351.3014
2025-06-01T19:35:57.016559336Z,workload-594,2565,7392460800,cloud-7,32000,65536,200.1000,cloud,339.3014,410.1925
2025-06-01T19:35:57.017016311Z,workload-594,2565,7392460800,cloud-4,6000,49152,200.1000,cloud,230.5013,457.1292
2025-06-01T19:35:57.017995213Z,workload-594,2565,7392460800,cloud-8,8000,40960,200.1000,cloud,227.5013,415.2842
2025-06-01T19:35:57.021097237Z,workload-594,2565,7392460800,edge-12,4000,8192,200.1000,edge,178.5013,506.5318
2025-06-01T19:35:57.025442584Z,workload-594,2565,7392460800,cloud-2,10000,24576,200.1000,cloud,213.5013,403.1925
2025-06-01T19:35:57.027228927Z,workload-594,2565,7392460800,cloud-1,8000,16384,200.1000,cloud,198.5013,453.2842
2025-06-01T19:35:57.027506828Z,workload-594,2565,7392460800,cloud-5,20000,65536,200.1000,cloud,344.9465,431.2842
2025-06-01T19:35:57.02808854Z,workload-594,2565,7392460800,cloud-3,16000,32768,200.1000,cloud,292.1623,365.9745
2025-06-01T19:35:57.115865083Z,workload-6822,1240,5714739200,edge-12,4000,8192,200.1000,edge,179.5013,398.2842
2025-06-01T19:35:57.117263735Z,workload-6822,1240,5714739200,cloud-1,8000,16384,200.1000,cloud,236.5013,349.3014
